Neural stem cells,ABCG2,CXCR4,FGFR4,FZD1,GLUT1,NOTCH1,NOTCH2,CD15,CD133,BMI1,SMARCA4,FABP7,MSI1,MSI2NES,NEUROD1,GNL3,SOX1,SOX2,SOX9,VIM,NEUROD6,SOX9,VIM,NEUROD6
Intermediate Progenitor Cells,EOMES,HES1,SOX2,,,,,,,,,,,,,,,,,,,,,
Radial Glia Cells,SLC1A3,FABP7,NES,PAX6,SOX2,VIM,GLI3,PDGFD,HES1,PTN,EMX2,NNAT,TLE4,,,,,,,,,,,
Glial-Restricted Progenitors,A2B5,FGFR1,GFAP,NES,NCAM1,TUBB3,,,,,,,,,,,,,,,,,,
Astrocytes,CD44,SLC1A3,FGFR3,GFAP,S100B,,,,,,,,,,,,,,,,,,,
Oligodendrocytes,OLIG1,OLIG2,EZH2,GALC,MOG,NKX2-2,SOX10,,,,,,,,,,,,,,,,,
Neuron Progenitors,ISL1,ISL2,NEUROG2,OLIG2,NCAM1,TUBB3,MAP2,,,,,,,,,,,,,,,,,
Neurons,CHAT,ISL1,ISL2,NEUROG2,OLIG2,HB9,MAP2,NEFL,NEFM,DLG4,NR1A2,PPP1R1B,GAD2,GAD1,VAMP2,VMAT2,TH,NR4A2,PAX2,PAX6,,,,
Cajal-Retzius Neurons,RELN,EOMES,NHLH1,LHX9,,,,,,,,,,,,,,,,,,,,
Neuroepithelium ,HES3,NR2F1,LIN28,,,,,,,,,,,,,,,,,,,,,
